%%% (Data source: Economic, LLC)
%swp1y	swp2y	swp3y	sw4y	sw5y	sw7y	sw10y	sw30y
7.1	7.16	7.17	7.17	7.17	7.2	7.24	7.24
7.03	7.06	7.07	7.07	7.08	7.11	7.14	7.16
7.07	7.13	7.14	7.15	7.16	7.19	7.21	7.21
7.01	7.04	7.06	7.06	7.07	7.1	7.14	7.14
7.04	7.09	7.11	7.13	7.14	7.17	7.2	7.19
7.04	7.1	7.11	7.13	7.14	7.18	7.22	7.2
7.06	7.12	7.14	7.15	7.17	7.2	7.23	7.19
7.04	7.09	7.1	7.12	7.13	7.16	7.19	7.13
7.08	7.14	7.16	7.17	7.19	7.21	7.23	7.17
7.12	7.21	7.23	7.25	7.28	7.31	7.35	7.28
7.12	7.21	7.23	7.25	7.28	7.31	7.35	7.29
7.13	7.22	7.25	7.27	7.29	7.32	7.36	7.3
7.07	7.14	7.16	7.18	7.21	7.24	7.29	7.23
7.03	7.09	7.11	7.12	7.14	7.18	7.21	7.16
7.04	7.12	7.14	7.16	7.17	7.2	7.24	7.19
7.03	7.1	7.11	7.13	7.15	7.18	7.23	7.17
7.02	7.08	7.1	7.11	7.13	7.17	7.21	7.17
7.01	7.07	7.09	7.1	7.11	7.15	7.2	7.15
7.03	7.09	7.11	7.13	7.15	7.19	7.23	7.19
7.06	7.12	7.14	7.16	7.18	7.22	7.26	7.21
7.04	7.08	7.1	7.12	7.14	7.18	7.23	7.17
7.02	7.06	7.08	7.1	7.12	7.16	7.2	7.18
6.98	7.02	7.04	7.05	7.07	7.11	7.16	7.13
6.94	6.97	6.98	7	7.02	7.06	7.11	7.09
6.94	6.97	6.98	7	7.03	7.06	7.09	7.06
6.94	6.97	6.99	7.01	7.03	7.06	7.09	7.07
6.93	6.96	6.97	7	7.02	7.05	7.09	7.07
6.9	6.92	6.94	6.96	6.98	7.01	7.06	7.05
6.92	6.94	6.95	6.95	6.97	6.99	7.02	7
6.96	7	7.02	7.04	7.05	7.07	7.09	7.05
6.96	6.99	7	7.01	7.03	7.04	7.06	7.02
6.96	7.01	7.02	7.03	7.04	7.06	7.08	7.04
6.97	7.01	7.02	7.03	7.04	7.06	7.09	7.05
6.96	7.01	7.02	7.03	7.04	7.07	7.08	7.06
6.95	6.98	6.99	7	7.02	7.04	7.07	7.05
6.95	6.98	6.99	7.01	7.03	7.05	7.08	7.06
6.93	6.95	6.95	6.95	6.96	6.98	7.01	7
6.91	6.93	6.93	6.94	6.94	6.96	6.99	6.98
6.9	6.91	6.92	6.92	6.92	6.94	6.97	6.96
6.92	6.94	6.94	6.94	6.94	6.96	6.99	6.99
6.93	6.97	6.97	6.98	6.99	7.02	7.06	7.05
6.94	6.99	7	7.01	7.03	7.06	7.09	7.08
